Aprobar,Negar,Receta,Cliente #,Orden ID #,Finca,Fecha Envio Finca,Producto,Caja,Pack,Cantidad Confirmada,Solicitud Cancelación,Respuesta Cancelación,Aceptación Cancelación
,,,1081,1657292,Centro Floricultor Baja California,7/17/2026,OTH G60 SUNFLOWER B PK 80 SC,D,16,20,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn3',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn4',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,1081,1657292,Centro Floricultor Baja California,7/17/2026,OTH G60 SUNFLOWER B PK 40 SC,L,8,25,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn8',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn9',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,2229,1636869,Centro Floricultor Baja California,7/20/2026,SNAPDRAGON 5ST B,H5M - Mexico Wet,15,40,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn3',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn4',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,2229,1636869,Centro Floricultor Baja California,7/20/2026,S. SEL SUNFLOWERS TRADITIONAL 5ST,L,10,50,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn8',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn9',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,2303,1638101,Centro Floricultor Baja California,7/20/2026,S. SEL SUNFLOWERS TRADITIONAL 5ST,L,10,25,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn13',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn14',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,3758,1639135,Centro Floricultor Baja California,7/22/2026,ASTER MATSUMOTO,D,15,62,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn18',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn19',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,3758,1639194,Centro Floricultor Baja California,7/22/2026,MATRICARIA,1/2 L,10,153,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn23',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn24',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,3758,1639270,Centro Floricultor Baja California,7/26/2026,S. SEL SUNFLOWERS TRADITIONAL 5ST,L,10,25,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn28',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn29',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,3758,1639233,Centro Floricultor Baja California,7/22/2026,SNAPDRAGON 5 STEM,H2 - Half Box,15,134,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn33',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn34',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,1081,1657292,Centro Floricultor Baja California,7/17/2026,OTH G60 SUNFLOWER B PK 80 SC,D,16,20,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn38',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn39',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,1081,1657292,Centro Floricultor Baja California,7/17/2026,OTH G60 SUNFLOWER B PK 40 SC,L,8,25,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn43',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn44',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
,,,710354,1694000,Centro Floricultor Baja California,7/17/2026,OTH G60 SUNFLOWER B PK 40 SC,L,8,10,,,,"<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn48',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->

<!--
ASPx.AddDisabledItems('dGridCancelaciones_DXCBtn49',[[['dxbDisabled_Office2010Blue'],[''],[''],['','TC']]]);

//-->"
